SALES DATA FOR PLANTATION;;;;;;
;STATIONERY;;COPIES;;;
DATE ;CASH;POS;CASH;POS;TOTAL;
2024/07/01;206,75;132;797,2;216,5;1352,45;
2024/07/02;907,2;160,25;1603,25;302,5;2973,2;
2024/07/03;1042;42,5;3454,2;706,75;5245,45;
2024/07/04;374;140;926,75;111,1;1551,85;
2024/07/05;375,4;40;583;0;998,4;
2024/07/06;705,25;0;464,5;0;1169,75;
2024/07/08;946;0;1815,35;0;2761,35;
2024/07/09;1286,75;577,3;1348,45;0;3212,5;
2024/07/10;1033;228;1695;67,5;3023,5;
2024/07/11;366;0;1096,25;45;1507,25;
2024/07/12;303,75;2115;1183,6;45;3647,35;
2024/07/13;96,75;0;624,45;0;721,2;
2024/07/17;566,15;365;3354,7;615,5;4901,35;
2024/07/18;793,8;3,5;1594;482,5;2873,8;
2024/07/19;668,45;282,85;2162,6;111;3224,9;
2024/07/20;371;94;793,4;25;1283,4;
2024/07/22;378;500;1234,75;25;2137,75;
2024/07/23;458,45;0;2155,25;75;2688,7;
2024/07/24;0;0;0;0;0;
2024/07/25;383,75;1188,5;2089,95;395,5;4057,7;
2024/07/26;318,9;0;1132,2;533;1984,1;
2024/07/27;638,15;523,3;2373,3;757;4291,75;
2024/07/29;588,3;344,5;1661;0;2593,8;
2024/07/30;287,25;793;1508,55;276;2864,8;
2024/07/31;1054;575;2213,6;721,5;4564,1;
2024/08/01;1264,5;170;2689,2;47,5;4171,2;
2024/08/02;212,25;625;1081,96;0;1919,21;
2024/08/03;183,75;77;1116,25;241,5;1618,5;
2024/08/05;833,15;693;2352,55;10;3888,7;
2024/08/06;292,05;85;1171,85;0;1548,9;
2024/08/07;609,5;150;1568,35;66,5;2394,35;
2024/08/08;114,75;294,5;1745;0;2154,25;
2024/08/09;123,25;406;1303;150;1982,25;
2024/08/10;435,2;87;504,2;0;1026,4;
2024/08/12;357,65;95;832,4;0;1285,05;
2024/08/13;0;0;0;0;0;
2024/08/14;0;0;0;0;0;
2024/08/15;0;0;0;0;0;
2024/08/16;393,25;120;1505;0;2018,25;
2024/08/17;0;0;0;0;0;
2024/08/19;403,5;88;1439,15;20;1950,65;
2024/08/20;0;0;0;0;0;
2024/08/21;313;0;1640;0;1953;
2024/08/22;854,15;855;1407;0;3116,15;
2024/08/23;356,8;47;1407;110;1920,8;
2024/08/24;481,75;0;890;110;1481,75;
2024/08/26;662,75;789,3;1260;0;2712,05;
2024/08/27;567,4;0;1533,8;493,5;2594,7;
2024/08/28;439;32,55;1297,65;155;1924,2;
2024/08/29;633,75;130;1621,15;253;2637,9;
2024/08/30;584;754,75;1775,05;1935,5;5049,3;
2024/08/31;514,8;230;150,5;704;1599,3;
2024/09/02;29,25;350;976,8;109,5;1465,55;
2024/09/03;1500,05;512,4;1070;153,65;3236,1;
2024/09/04;864,55;214;856,25;200;2134,8;
2024/09/05;728,45;650;1714,65;376,5;3469,6;
2024/09/06;687,65;1736,3;2632,2;0;5056,15;
2024/09/07;402,6;143,95;298,5;0;845,05;
2024/09/09;760,5;938;2177,1;0;3875,6;
2024/09/10;989,95;252;2771;0;4012,95;
2024/09/11;1133;195;1494;0;2822;
2024/09/12;76,45;432,25;1710,2;55;2273,9;
2024/09/13;464,95;263;825,25;102,5;1655,7;
2024/09/14;384,3;48;1030,5;0;1462,8;
2024/09/16;916,65;334;369,85;0;1620,5;
2024/09/17;623,3;361,45;714,45;5;1704,2;
2024/09/18;1160,15;0;680,45;54,5;1895,1;
2024/09/19;950,3;320;798,4;245,5;2314,2;
2024/09/20;341,75;0;227,2;65;633,95;
2024/09/21;460,5;362,5;210,5;0;1033,5;
2024/09/23;888,75;2275;702,25;272;4138;
2024/09/24;753,85;190;1239,35;65;2248,2;
2024/09/25;117,65;557,7;2694,2;25;3394,55;
2024/09/26;732,4;1260,75;838,45;15;2846,6;
2024/09/27;461,15;0;2075,25;422,5;2958,9;
2024/09/28;566;646;1524;185,5;2921,5;
2024/10/01;740,1;0;980;0;1720,1;
2024/10/02;772;646;1911,55;95;3424,55;
2024/10/03;341,65;26,3;2547,85;133,2;3049;
2024/10/04;3247,5;392;0;410;4049,5;
2024/10/05;455,5;271;875,75;437;2039,25;
2024/10/07;641,95;398;2021,55;0;3061,5;
2024/10/08;127,8;398;1688,05;22,5;2236,35;
